Product_ID,Product_Category,Price,Stock_Quantity,Demand,Season,Promotions,Weekday,Sales_Channel,Weather,Lead_Time,Supplier_Reliability,Price_Change,Economic_Indicator,Customer_Sentiment
e48dc21f,Furniture,2756.34,54.0,248.0,Spring,Yes,Monday,In-Store,Sunny,5,1.54,Yes,2.1,Neutral
062a239a,Clothing,1717.98,322.0,1500.0,Summer,Yes,Monday,In-Store,Cloudy,24,1.26,No,1.26,Negative
ee106202,Furniture,4779.86,131.0,17.0,Summer,No,Friday,Other,Rainy,11,2.99,No,2.25,Positive
c8ff13fa,Furniture,733.26,274.0,300.0,Summer,Yes,Thursday,Online,Rainy,10,1.16,No,2.3,Neutral
895c1854,Clothing,4594.79,166.0,203.0,Spring,No,Monday,In-Store,Rainy,23,4.73,No,1.76,Negative
d46f5f84,Clothing,2886.29,,173.0,Fall,No,Saturday,Online,Unknown,2,1.01,Yes,1.02,Neutral
218584e5,Groceries,49719.3,,146.0,Winter,Yes,Tuesday,Other,Sunny,1,4.01,No,2.85,Positive
422cf4fd,Electronics,1322.04,74.0,142.0,Winter,Yes,Saturday,Online,Snowy,10,3.56,No,1.26,Negative
c97df293,Groceries,4263.66,475.0,156.0,Winter,No,Sunday,In-Store,Sunny,11,3.5,Yes,0.87,Positive
a30dd2c0,Clothing,3249.49,320.0,73.0,Spring,No,Friday,In-Store,Unknown,13,2.3,Yes,2.0,Positive
c9aec491,Electronics,4322.18,410.0,40.0,Summer,No,Thursday,In-Store,Cloudy,11,4.04,Yes,2.75,Negative
34e4e5fc,Clothing,2402.81,6.0,166.0,Winter,Yes,Thursday,Online,Snowy,15,4.22,Yes,0.62,Positive
c529b081,Electronics,4417.16,305.0,,Fall,Yes,Sunday,Online,Rainy,9,2.53,Yes,3.32,Neutral
ada793f0,Groceries,4129.6,218.0,127.0,Fall,No,Monday,Other,Sunny,10,2.69,No,1.08,Negative
596e92c5,Electronics,4503.78,432.0,188.0,Fall,No,Sunday,Online,Rainy,10,1.89,No,0.94,Neutral
484f7dfb,Furniture,3164.66,76.0,,Fall,No,Thursday,In-Store,Cloudy,9,3.52,No,2.55,Neutral
a176536b,Clothing,1434.58,,1500.0,Summer,No,Tuesday,Online,Unknown,14,4.82,Yes,0.6,Negative
ee9eca2d,Groceries,4905.05,,193.0,Winter,No,Saturday,Online,Sunny,5,1.57,No,1.65,Negative
b310d353,Clothing,2708.07,443.0,91.0,Summer,Yes,Saturday,Online,Unknown,21,3.83,No,1.81,Neutral
d57a2462,Groceries,620.86,277.0,238.0,Spring,Yes,Wednesday,Online,Cloudy,12,4.64,Yes,0.93,Positive
8ac088c5,Groceries,4942.83,217.0,48.0,Summer,Yes,Tuesday,Online,Cloudy,1,3.97,Yes,1.66,Neutral
1b8279a9,Groceries,1905.62,357.0,,Winter,No,Wednesday,Online,Snowy,14,3.55,No,4.54,Negative
fc229972,Clothing,2410.78,75.0,137.0,Summer,No,Monday,In-Store,Unknown,24,2.41,Yes,2.89,Neutral
4a4e43a7,Clothing,4591.96,426.0,42.0,Winter,Yes,Monday,In-Store,Rainy,16,3.04,No,3.5,Neutral
5b25df14,Clothing,402.09,,224.0,Spring,No,Sunday,Online,Sunny,20,2.61,No,2.64,Negative
1bff3d96,Groceries,1840.4,169.0,222.0,Winter,Yes,Tuesday,In-Store,Snowy,3,3.34,No,0.57,Positive
b8a26818,Clothing,4298.1,427.0,,Summer,No,Wednesday,In-Store,Cloudy,29,1.1,Yes,1.13,Negative
113ff3d7,Clothing,973.48,7.0,274.0,Spring,Yes,Friday,Online,Snowy,18,4.09,Yes,4.07,Neutral
22ffc565,Groceries,35.98,291.0,1500.0,Summer,No,Tuesday,In-Store,Rainy,8,1.37,No,4.71,Negative
e7b03aac,Electronics,4544.41,459.0,175.0,Summer,Yes,Saturday,In-Store,Rainy,4,1.7,Yes,1.66,Neutral
6a6dbcc2,Furniture,799.34,65.0,176.0,Fall,No,Friday,In-Store,Sunny,24,2.06,Yes,2.85,Neutral
19a1ea97,Furniture,2492.69,436.0,1.0,Winter,Yes,Saturday,In-Store,Sunny,24,2.61,No,2.23,Neutral
c5cb322c,Groceries,4847.46,18.0,251.0,Fall,No,Monday,In-Store,Cloudy,9,1.3,Yes,4.1,Negative
c3d08c53,Furniture,223.09,285.0,70.0,Summer,Yes,Wednesday,Online,Sunny,16,1.76,No,0.99,Positive
397b0a8a,Groceries,2698.12,290.0,,Fall,No,Thursday,Online,Rainy,26,1.37,No,3.5,Neutral
422f82ec,Furniture,49719.3,60.0,95.0,Fall,Yes,Monday,Online,Rainy,17,2.78,Yes,3.9,Neutral
cef589b1,Clothing,4908.8,156.0,173.0,Spring,No,Saturday,Online,Rainy,2,1.35,No,1.63,Negative
fa681e4d,Clothing,2158.18,96.0,130.0,Fall,Yes,Thursday,In-Store,Snowy,15,3.97,Yes,1.1,Positive
e7d1bf5d,Electronics,678.75,489.0,2.0,Fall,No,Saturday,Other,Rainy,29,2.3,Yes,2.28,Positive
644e62dd,Electronics,49719.3,177.0,125.0,Spring,Yes,Thursday,Online,Snowy,20,1.27,Yes,1.12,Positive
3239d3a1,Groceries,3547.32,351.0,162.0,Spring,No,Thursday,Online,Snowy,21,2.8,Yes,1.37,Positive
739befc4,Electronics,3185.86,190.0,7.0,Winter,Yes,Monday,Online,Snowy,3,3.31,No,3.85,Neutral
d756b81a,Groceries,661.61,216.0,203.0,Fall,No,Monday,Online,Rainy,19,3.94,No,1.52,Neutral
9e3ea180,Groceries,3019.11,,277.0,Fall,No,Wednesday,Online,Snowy,9,3.39,No,4.57,Neutral
814b427f,Groceries,2148.33,187.0,227.0,Fall,No,Monday,In-Store,Sunny,4,3.67,No,3.95,Negative
cbabad91,Furniture,750.65,427.0,40.0,Fall,No,Tuesday,In-Store,Rainy,15,2.79,Yes,4.21,Negative
9f6c903d,Electronics,4737.83,134.0,87.0,Fall,No,Monday,Online,Sunny,26,2.89,No,4.62,Negative
eb8ac591,Furniture,3150.3,254.0,53.0,Summer,No,Monday,Other,Snowy,6,4.91,Yes,3.98,Positive
8e78d213,Furniture,1712.49,133.0,108.0,Summer,Yes,Wednesday,Online,Snowy,29,2.49,No,1.37,Positive
a1efb20e,Groceries,4948.62,,1500.0,Fall,No,Thursday,In-Store,Rainy,20,3.76,No,4.96,Neutral
9550356f,Clothing,3394.49,198.0,284.0,Spring,Yes,Tuesday,In-Store,Rainy,28,1.71,No,1.54,Neutral
57dc8a55,Electronics,945.91,445.0,81.0,Winter,No,Sunday,Online,Sunny,9,3.3,No,4.24,Positive
4847f323,Clothing,1779.21,180.0,,Fall,Yes,Thursday,Online,Sunny,23,3.6,Yes,4.3,Negative
74e7ab17,Clothing,1358.29,71.0,43.0,Fall,No,Tuesday,Other,Cloudy,18,2.44,No,3.61,Positive
