Product_ID,Product_Category,Price,Stock_Quantity,Demand,Season,Promotions,Weekday,Sales_Channel,Weather,Lead_Time,Supplier_Reliability,Price_Change,Economic_Indicator,Customer_Sentiment
bfc98e55,Groceries,4249.47,306.0,174.0,Winter,No,Wednesday,In-Store,Cloudy,30,3.28,No,2.88,Positive
6a847ddc,Clothing,1555.66,,136.0,Fall,Yes,Sunday,Online,Cloudy,26,2.19,Yes,3.78,Negative
21c614a8,Electronics,2625.52,461.0,20.0,Spring,Yes,Friday,Online,Cloudy,9,1.67,No,0.54,Positive
6c6663c0,Electronics,1280.86,482.0,,Spring,No,Sunday,Online,Sunny,30,1.58,No,1.86,Positive
63bfcbc7,Groceries,3298.16,493.0,,Fall,No,Friday,Online,Sunny,18,1.57,Yes,0.64,Positive
e983c191,Furniture,2856.98,498.0,190.0,Winter,No,Saturday,Online,Cloudy,25,4.44,No,1.75,Negative
a3f80461,Clothing,2116.89,217.0,24.0,Fall,No,Saturday,In-Store,Snowy,9,3.47,Yes,4.82,Neutral
325f25f3,Electronics,2797.27,316.0,172.0,Winter,Yes,Tuesday,Online,Snowy,7,2.37,No,3.19,Positive
f63917b6,Furniture,49910.600000000006,155.0,1500.0,Winter,No,Wednesday,In-Store,Rainy,27,3.74,Yes,1.7,Positive
e2c131d3,Clothing,4174.38,65.0,53.0,Spring,Yes,Wednesday,Other,Sunny,22,3.81,Yes,4.43,Negative
05ab158d,Clothing,4152.71,275.0,106.0,Fall,Yes,Monday,In-Store,Snowy,25,1.67,No,3.38,Positive
435b9645,Groceries,1564.83,325.0,139.0,Spring,Yes,Sunday,Online,Sunny,9,2.95,Yes,1.19,Negative
7b562fca,Clothing,825.65,405.0,244.0,Spring,Yes,Thursday,Online,Unknown,4,1.09,No,2.74,Negative
bd14ee26,Clothing,4297.19,268.0,67.0,Winter,Yes,Wednesday,In-Store,Sunny,20,1.53,No,4.57,Neutral
675e32b6,Furniture,4530.73,309.0,290.0,Fall,Yes,Tuesday,In-Store,Sunny,12,3.54,No,2.9,Positive
54806394,Clothing,1827.14,,74.0,Winter,No,Saturday,Online,Rainy,30,1.32,Yes,0.71,Positive
749d6d56,Furniture,1093.13,,176.0,Summer,No,Monday,In-Store,Cloudy,1,3.56,Yes,4.9,Neutral
cdc68845,Electronics,3297.71,26.0,,Fall,No,Monday,Online,Rainy,22,4.08,Yes,2.75,Negative
cbe9c8b3,Groceries,2872.49,,216.0,Winter,No,Saturday,Online,Sunny,10,1.71,No,2.51,Negative
af7c08d5,Furniture,880.02,,192.0,Spring,No,Saturday,In-Store,Sunny,17,1.93,No,4.47,Negative
5cdd881c,Groceries,2597.38,233.0,130.0,Winter,No,Sunday,In-Store,Cloudy,23,4.11,Yes,4.15,Positive
aeb74a24,Electronics,2653.5,173.0,170.0,Summer,No,Monday,Online,Cloudy,10,4.63,Yes,2.51,Neutral
1b3bcf91,Electronics,3890.8,369.0,,Winter,Yes,Sunday,Online,Snowy,26,2.97,Yes,0.63,Positive
503779d9,Electronics,4926.66,465.0,14.0,Summer,No,Thursday,Other,Sunny,20,4.25,No,1.66,Negative
6682d9b8,Electronics,559.82,9.0,1500.0,Winter,Yes,Tuesday,Online,Sunny,19,4.89,Yes,3.95,Positive
51eaee2c,Furniture,11.39,114.0,102.0,Spring,Yes,Friday,Online,Snowy,6,4.07,Yes,2.73,Positive
5a6d81da,Electronics,2841.31,260.0,53.0,Spring,Yes,Saturday,Online,Rainy,12,2.31,Yes,2.79,Neutral
fd7c37f7,Electronics,732.52,473.0,73.0,Winter,Yes,Friday,In-Store,Cloudy,19,4.23,No,1.03,Negative
7467ca80,Groceries,3729.53,,144.0,Summer,No,Sunday,Other,Snowy,10,2.36,Yes,4.47,Neutral
fb9cce8b,Groceries,4163.11,405.0,225.0,Spring,Yes,Wednesday,In-Store,Rainy,21,1.28,Yes,3.32,Positive
7cc9bc23,Furniture,1150.46,469.0,129.0,Fall,Yes,Friday,Online,Sunny,11,2.88,Yes,1.99,Positive
7b4b2c26,Clothing,2025.4,359.0,176.0,Summer,Yes,Monday,In-Store,Cloudy,9,2.76,No,3.5,Negative
f4392607,Furniture,4748.9,180.0,297.0,Fall,Yes,Tuesday,In-Store,Sunny,13,4.2,No,4.22,Neutral
bc662177,Electronics,3245.63,162.0,,Winter,No,Saturday,Online,Cloudy,2,1.34,Yes,3.02,Neutral
b24b0fe1,Furniture,4290.98,376.0,168.0,Winter,Yes,Monday,In-Store,Snowy,15,1.9,No,1.62,Positive
80fad446,Electronics,322.82,150.0,76.0,Fall,No,Monday,In-Store,Snowy,2,1.03,Yes,1.47,Positive
73cdefb9,Groceries,130.3,100.0,149.0,Summer,Yes,Wednesday,Other,Snowy,13,1.21,No,3.2,Positive
1735c206,Electronics,4317.59,,296.0,Winter,Yes,Friday,In-Store,Sunny,25,2.06,Yes,1.42,Positive
e1cf63d7,Furniture,1339.42,62.0,158.0,Spring,No,Monday,In-Store,Snowy,8,3.22,Yes,4.06,Negative
86306455,Groceries,3601.57,40.0,152.0,Winter,No,Wednesday,In-Store,Cloudy,20,2.15,No,4.71,Negative
ae60b1c9,Clothing,4340.74,319.0,186.0,Winter,No,Sunday,Online,Unknown,21,2.88,Yes,1.72,Neutral
73ea53ff,Electronics,4590.59,69.0,79.0,Summer,No,Sunday,In-Store,Unknown,4,1.88,No,4.62,Negative
efd9b9c4,Furniture,2344.63,28.0,,Winter,Yes,Thursday,Other,Sunny,12,1.09,Yes,1.11,Positive
f29e3da8,Furniture,1287.76,256.0,31.0,Spring,Yes,Tuesday,In-Store,Rainy,21,2.63,No,4.14,Neutral
76b99523,Furniture,3820.61,258.0,225.0,Spring,No,Sunday,In-Store,Sunny,14,4.26,Yes,2.4,Neutral
252798b1,Electronics,4388.82,94.0,,Spring,No,Tuesday,In-Store,Snowy,17,1.03,No,4.81,Negative
5aa0676c,Clothing,2246.78,482.0,108.0,Winter,No,Saturday,In-Store,Rainy,1,2.81,Yes,3.44,Positive
9e040129,Electronics,2226.85,27.0,97.0,Winter,Yes,Saturday,In-Store,Cloudy,25,1.53,Yes,2.65,Negative
1a55d0db,Clothing,4261.51,47.0,163.0,Spring,No,Wednesday,In-Store,Cloudy,20,2.17,No,2.87,Neutral
904f6751,Electronics,2570.14,106.0,10.0,Spring,No,Tuesday,Online,Cloudy,3,3.55,No,0.52,Neutral
3a6c1688,Groceries,4266.56,293.0,146.0,Winter,Yes,Sunday,In-Store,Sunny,28,4.49,No,4.34,Neutral
7421da66,Groceries,2588.36,14.0,21.0,Winter,Yes,Friday,In-Store,Snowy,24,4.47,Yes,2.04,Positive
bff418ff,Electronics,904.97,165.0,213.0,Spring,No,Sunday,Other,Cloudy,7,1.23,No,2.8,Neutral
26cd79aa,Clothing,1934.59,61.0,245.0,Spring,No,Wednesday,Online,Sunny,25,1.36,Yes,3.12,Neutral
1df0fe2c,Groceries,3434.61,285.0,201.0,Summer,No,Sunday,In-Store,Rainy,21,3.97,Yes,0.68,Neutral
4edab615,Furniture,4345.38,495.0,195.0,Winter,Yes,Thursday,Other,Snowy,9,4.53,Yes,3.29,Negative
ec90a068,Groceries,573.4,349.0,,Winter,No,Tuesday,Online,Cloudy,1,4.14,Yes,1.13,Positive
6dc4aded,Clothing,3144.21,5.0,89.0,Fall,Yes,Monday,Other,Sunny,7,1.64,Yes,3.28,Positive
dfd87382,Electronics,1237.48,192.0,214.0,Spring,No,Wednesday,In-Store,Sunny,8,3.88,Yes,1.75,Negative
114471e1,Furniture,2720.14,194.0,42.0,Fall,No,Tuesday,Online,Unknown,23,1.71,No,1.48,Positive
3c977ab2,Clothing,4180.58,326.0,267.0,Winter,No,Saturday,In-Store,Cloudy,14,1.17,Yes,4.76,Positive
745cc57b,Electronics,49910.600000000006,238.0,71.0,Spring,No,Thursday,In-Store,Sunny,30,1.94,Yes,4.3,Negative
500de159,Electronics,714.44,44.0,200.0,Fall,Yes,Tuesday,Online,Snowy,5,1.54,No,4.66,Positive
d21c9a59,Electronics,3540.84,305.0,183.0,Spring,No,Sunday,In-Store,Cloudy,6,4.79,No,2.54,Negative
aa214571,Furniture,1834.04,57.0,247.0,Fall,No,Thursday,Other,Snowy,3,2.73,No,3.91,Positive
b58bd9f0,Clothing,894.53,121.0,175.0,Fall,Yes,Tuesday,Online,Sunny,16,4.29,No,3.44,Positive
dc19628b,Furniture,4070.35,368.0,,Spring,Yes,Thursday,Online,Sunny,5,3.09,No,3.49,Positive
160a1529,Groceries,2898.04,76.0,66.0,Summer,Yes,Friday,In-Store,Cloudy,1,1.52,Yes,2.24,Negative
cf8bb51a,Furniture,2385.22,,74.0,Winter,No,Tuesday,Online,Rainy,9,4.36,No,2.8,Positive
f70ce356,Clothing,4353.98,319.0,196.0,Summer,No,Saturday,Online,Cloudy,8,4.67,No,1.28,Negative
30535a2e,Electronics,4155.16,314.0,258.0,Fall,No,Saturday,In-Store,Rainy,5,1.94,Yes,1.63,Positive
4a33fd88,Furniture,1351.16,268.0,81.0,Spring,No,Monday,Online,Rainy,17,2.3,No,2.12,Positive
37a969ce,Clothing,1809.63,,291.0,Fall,Yes,Friday,Online,Sunny,26,1.59,No,2.97,Positive
aaffc89e,Furniture,3873.23,405.0,70.0,Spring,No,Wednesday,Online,Snowy,7,2.04,No,3.38,Positive
