Product_ID,Product_Category,Price,Stock_Quantity,Demand,Season,Promotions,Weekday,Sales_Channel,Weather,Lead_Time,Supplier_Reliability,Price_Change,Economic_Indicator,Customer_Sentiment
03594d34,Electronics,1476.42,281.0,30.0,Winter,Yes,Thursday,In-Store,Sunny,17,4.2,No,3.89,Neutral
386aec8b,Clothing,4933.75,280.0,1500.0,Fall,No,Tuesday,In-Store,Sunny,20,2.18,Yes,2.51,Positive
bb432ecf,Clothing,3103.73,85.0,276.0,Summer,No,Friday,Other,Snowy,24,2.98,No,4.6,Neutral
12128559,Clothing,1482.51,139.0,1500.0,Summer,No,Saturday,Online,Unknown,11,2.13,No,2.28,Negative
16ae781e,Clothing,4915.92,97.0,36.0,Fall,Yes,Thursday,Other,Cloudy,6,3.57,No,2.29,Neutral
2fb0e8ae,Furniture,2308.34,378.0,111.0,Winter,Yes,Saturday,Other,Snowy,9,2.12,No,1.92,Negative
3f8ad0cf,Groceries,3081.28,223.0,79.0,Summer,Yes,Friday,In-Store,Rainy,7,1.99,Yes,4.97,Negative
38c5fac2,Electronics,2352.87,318.0,288.0,Fall,No,Monday,In-Store,Cloudy,16,4.04,No,4.17,Neutral
ea05758d,Clothing,175.64,,137.0,Summer,No,Friday,Other,Sunny,9,1.73,Yes,2.61,Positive
a53fa67e,Clothing,1352.47,,,Spring,Yes,Wednesday,Online,Cloudy,18,1.63,No,3.05,Neutral
471091e6,Furniture,804.32,116.0,121.0,Fall,No,Tuesday,Online,Snowy,27,4.61,Yes,4.29,Negative
87aa97fd,Furniture,973.07,280.0,170.0,Summer,Yes,Saturday,Online,Rainy,21,2.29,No,0.97,Positive
3b819ba5,Furniture,4170.15,183.0,253.0,Spring,No,Saturday,Online,Unknown,19,4.84,No,2.31,Positive
57b97804,Electronics,3070.93,175.0,,Spring,Yes,Wednesday,Online,Snowy,12,4.93,No,4.29,Negative
7f2e33eb,Furniture,4750.39,198.0,173.0,Spring,No,Thursday,Online,Unknown,13,2.12,No,3.3,Negative
318b0bb6,Clothing,2623.79,448.0,183.0,Spring,No,Wednesday,In-Store,Rainy,21,2.97,Yes,3.27,Neutral
ee3ff739,Furniture,3799.71,190.0,261.0,Winter,Yes,Sunday,Other,Snowy,11,4.76,No,3.43,Neutral
89b52134,Electronics,466.1,112.0,1.0,Fall,Yes,Friday,In-Store,Snowy,17,3.76,No,2.67,Neutral
8112c2f1,Electronics,4815.89,358.0,256.0,Spring,No,Saturday,Online,Unknown,2,3.61,Yes,3.2,Neutral
b367cf80,Groceries,17.32,342.0,,Winter,No,Friday,Online,Snowy,20,1.48,No,4.52,Positive
f107b7b0,Furniture,3212.75,333.0,166.0,Spring,Yes,Sunday,In-Store,Rainy,13,3.49,No,4.14,Negative
08dc0c3e,Groceries,3833.98,45.0,181.0,Spring,Yes,Saturday,In-Store,Snowy,14,1.64,No,2.6,Positive
c68c006a,Electronics,4337.96,61.0,126.0,Summer,No,Wednesday,In-Store,Rainy,25,2.72,Yes,3.13,Negative
597e0a17,Electronics,49934.799999999996,74.0,16.0,Spring,No,Sunday,In-Store,Unknown,24,2.45,No,1.38,Neutral
34eb0d95,Electronics,4605.03,112.0,122.0,Winter,No,Saturday,Online,Rainy,25,2.98,No,0.57,Negative
fa0cf9c2,Electronics,49934.799999999996,98.0,167.0,Fall,No,Thursday,Online,Cloudy,22,4.38,No,3.8,Negative
8447728f,Electronics,2502.68,36.0,56.0,Fall,No,Tuesday,Online,Sunny,2,3.09,Yes,0.63,Negative
9b05b8b8,Electronics,1198.15,381.0,271.0,Winter,No,Sunday,In-Store,Snowy,11,2.41,No,1.77,Positive
4fee83d9,Electronics,4271.93,,252.0,Fall,No,Friday,Online,Unknown,14,2.69,Yes,2.59,Negative
c479f1b8,Groceries,3669.07,449.0,1500.0,Fall,Yes,Friday,Online,Rainy,18,1.44,Yes,0.73,Negative
34afecc6,Electronics,982.44,338.0,207.0,Summer,Yes,Wednesday,Online,Snowy,9,4.36,No,4.64,Negative
070ec842,Groceries,4560.06,302.0,41.0,Spring,No,Thursday,In-Store,Rainy,18,1.67,No,3.77,Positive
0d9a780b,Groceries,2949.53,,247.0,Spring,No,Saturday,In-Store,Cloudy,29,1.97,No,0.67,Neutral
